1,1,bfs,drlu,1,1,1,1,0.168
1,1,bfs,drul,1,1,1,1,0.168
1,1,bfs,ludr,3,3,1,1,0.32
1,1,bfs,lurd,3,3,1,1,0.314
1,1,bfs,rdlu,1,1,1,1,0.168
1,1,bfs,rdul,1,1,1,1,0.189
1,1,bfs,uldr,3,3,1,1,0.319
1,1,bfs,ulrd,3,3,1,1,0.333
1,1,dfs,drlu,1,1,2,0,0.187
1,1,dfs,drul,1,1,2,0,0.186
1,1,dfs,ludr,3,9858,19716,20,2359.65
1,1,dfs,lurd,3,9219,18438,20,2165.41
1,1,dfs,rdlu,1,1,2,0,0.184
1,1,dfs,rdul,1,1,2,0,0.186
1,1,dfs,uldr,3,9010,18020,20,2119.567
1,1,dfs,ulrd,3,7516,15032,20,1770.576
1,2,bfs,drlu,1,1,1,1,0.17
1,2,bfs,drul,1,1,1,1,0.17
1,2,bfs,ludr,3,3,1,1,0.655
1,2,bfs,lurd,3,3,1,1,0.318
1,2,bfs,rdlu,1,1,1,1,0.167
1,2,bfs,rdul,1,1,1,1,0.19
1,2,bfs,uldr,3,3,1,1,0.321
1,2,bfs,ulrd,3,3,1,1,0.317
1,2,dfs,drlu,1,1,2,0,0.185
1,2,dfs,drul,1,1,2,0,0.188
1,2,dfs,ludr,3,7516,15032,20,1782.268
1,2,dfs,lurd,3,9010,18020,20,2090.419
1,2,dfs,rdlu,1,1,2,0,0.188
1,2,dfs,rdul,1,1,2,0,0.189
1,2,dfs,uldr,3,9219,18438,20,2123.301
1,2,dfs,ulrd,3,9858,19716,20,2290.405
2,1,bfs,drlu,2,4,2,2,0.438
2,1,bfs,drul,2,4,2,2,0.42
2,1,bfs,ludr,5,9,4,4,1.02
2,1,bfs,lurd,5,9,4,4,1.02
2,1,bfs,rdlu,2,4,2,2,0.414
2,1,bfs,rdul,2,4,2,2,0.477
2,1,bfs,uldr,5,9,4,4,1.006
2,1,bfs,ulrd,5,9,4,4,1.016
2,1,dfs,drlu,2,2,3,1,0.293
2,1,dfs,drul,2,2,3,1,0.295
2,1,dfs,ludr,5,9699,19397,20,2261.623
2,1,dfs,lurd,5,8414,16827,20,1965.426
2,1,dfs,rdlu,2,2,3,1,0.539
2,1,dfs,rdul,2,2,3,1,0.293
2,1,dfs,uldr,5,7892,15783,20,1836.884
2,1,dfs,ulrd,5,6166,12331,20,1448.979
2,2,bfs,drlu,3,7,3,3,0.747
2,2,bfs,drul,3,7,3,3,0.754
2,2,bfs,ludr,6,14,5,5,1.467
2,2,bfs,lurd,5,12,4,4,1.231
2,2,bfs,rdlu,2,5,2,2,0.515
2,2,bfs,rdul,2,5,2,2,0.561
2,2,bfs,uldr,6,14,5,5,1.463
2,2,bfs,ulrd,5,12,4,4,1.24
2,2,dfs,drlu,10,10,11,13,1.308
2,2,dfs,drul,12,778,1547,20,180.858
2,2,dfs,ludr,6,9697,19393,20,2265.628
2,2,dfs,lurd,5,8564,17127,20,1997.273
2,2,dfs,rdlu,2,2,3,1,0.294
2,2,dfs,rdul,2,2,3,1,0.291
2,2,dfs,uldr,6,10267,20533,20,2418.389
2,2,dfs,ulrd,5,8243,16485,20,1912.116
2,3,bfs,drlu,2,5,2,2,0.495
2,3,bfs,drul,2,5,2,2,0.516
2,3,bfs,ludr,5,12,4,4,1.266
2,3,bfs,lurd,6,14,5,5,1.564
2,3,bfs,rdlu,3,7,3,3,0.754
2,3,bfs,rdul,3,7,3,3,0.833
2,3,bfs,uldr,5,12,4,4,1.274
2,3,bfs,ulrd,6,14,5,5,1.46
2,3,dfs,drlu,2,2,3,1,0.299
2,3,dfs,drul,2,2,3,1,0.294
2,3,dfs,ludr,5,8243,16485,20,1946.861
2,3,dfs,lurd,6,10267,20533,20,2391.289
2,3,dfs,rdlu,12,778,1547,20,179.59
2,3,dfs,rdul,10,10,11,13,1.322
2,3,dfs,uldr,5,8564,17127,20,2008.297
